ABL1	0.81723
ARAF	0.74183
ARID1A	0.62205
ATM	0.05959
BAD	0.09826
BAP1	0.235
BAX	0.0048234
BCL2A1	0.18157
BCL2L1	0.10757
BCL2L11	0.47554
BECN1	0.56011
BRAF	0.45121
BRD4	0.81723
CASP3	0.16387
CAV1	0.018253
CCNE1	0.3686
CCNE2	0.59484
CDH1	0.25418
CDK1	0.63393
CHEK1	0.23987
CHEK2	0.02433
COG3	0.74983
COL6A1	0.35932
COPS5	0.0021234
DIABLO	0.30197
DIRAS3	0.56011
ERBB3	0.78579
ESR1	0.8764
FOXO3	1
GAPDH	0.0043189
GSK3A	0.020322
GSK3B	0.14291
JAK2	1
MAPK14	0.68172
MAPK8	0.019403
MET	0.021451
MSH2	0.00041961
MTOR	0.54083
MYC	0.013718
MYH9	0.42452
PDK1	0.00041961
PIK3R1	0.0041791
PIK3R2	0.0065709
PRKCA	0.020322
PTEN	0.033002
PTPN11	0.040105
RAD51	0.13996
RAF1	0.78579
RB1	0.8764
RPS6	0.77383
RPTOR	0.80544
SCD	0.33239
SETD2	0.036125
SHC1	0.47554
SMAD1	1
SNAI1	0.0044771
SQSTM1	0.76185
SRC	0.0010505
SRSF1	0.020322
SYK	0.89217
TIGAR	0.00041961
TSC2	0.0073382
WWTR1	0.10757
XBP1	0.3686
XRCC5	0.0033782
